Total_Radiation(75-3000Hz),Location_Code_Name,Latitude,Longitude
0.798,14,38.04783198,23.54263583
0.824,14,38.04783198,23.54263583
0.213,14,38.04783198,23.54263583
3.387,14,38.04783198,23.54263583
1.049,14,38.04783198,23.54263583
0.488,14,38.04783198,23.54263583
0.388,14,38.04783198,23.54263583
0.277,14,38.04783198,23.54263583
1.197,14,38.04783198,23.54263583
0.235,14,38.04783198,23.54263583
7.012,14,38.04783198,23.54263583
0.461,14,38.04783198,23.54263583
1.129,15,38.07418557,23.81433433
0.545,15,38.07418557,23.81433433
0.617,15,38.07418557,23.81433433
0.529,15,38.07418557,23.81433433
0.353,16,39.19737513,20.18598895
0.408,16,39.19737513,20.18598895
0.348,16,39.19737513,20.18598895
0.342,16,39.19737513,20.18598895
0.341,16,39.19737513,20.18598895
0.421,17,39.62129663,19.92115635
0.372,17,39.62129663,19.92115635
0.369,17,39.62129663,19.92115635
0.429,17,39.62129663,19.92115635
4.542,18,37.12625873,22.31554734
2.602,18,37.12625873,22.31554734
0.505,18,37.12625873,22.31554734
1.983,18,37.12625873,22.31554734
0.667,18,37.12625873,22.31554734
0.266,18,37.12625873,22.31554734
0.205,18,37.12625873,22.31554734
0.351,18,37.12625873,22.31554734
1.953,19,38.24492008,20.50344869
2.181,19,38.24492008,20.50344869
1.113,19,38.24492008,20.50344869
1.232,19,38.24492008,20.50344869
0.493,19,38.24492008,20.50344869
0.871,19,38.24492008,20.50344869
0.91,20,38.05371223,23.78879123
0.981,20,38.05371223,23.78879123
0.474,20,38.05371223,23.78879123
1.189,20,38.05371223,23.78879123
0.525,20,38.05371223,23.78879123
0.358,21,39.84128013,19.40754896
0.53,21,39.84128013,19.40754896
0.339,21,39.84128013,19.40754896
0.341,21,39.84128013,19.40754896
1.285,22,37.67992324,21.43840053
1.18,22,37.67992324,21.43840053
0.977,22,37.67992324,21.43840053
0.999,22,37.67992324,21.43840053
0.778,22,37.67992324,21.43840053
0.925,22,37.67992324,21.43840053
0.905,22,37.67992324,21.43840053
0.749,22,37.67992324,21.43840053
0.557,22,37.67992324,21.43840053
1.022,23,36.32598878,22.98145268
1.114,23,36.32598878,22.98145268
0.255,23,36.32598878,22.98145268
0.83,23,36.32598878,22.98145268
0.605,23,36.32598878,22.98145268
0.366,23,36.32598878,22.98145268
0.491,23,36.32598878,22.98145268
0.491,23,36.32598878,22.98145268
0.803,23,36.32598878,22.98145268
0.511,24,38.30332146,21.94783601
0.616,24,38.30332146,21.94783601
0.564,24,38.30332146,21.94783601
0.698,24,38.30332146,21.94783601
0.42,24,38.30332146,21.94783601
0.514,24,38.30332146,21.94783601
0.276,25,39.15383681,21.18357908
0.22,25,39.15383681,21.18357908
0.608,25,39.15383681,21.18357908
0.592,25,39.15383681,21.18357908
0.229,25,39.15383681,21.18357908
0.332,25,39.15383681,21.18357908
1.111,26,36.28623999,23.01624547
2.315,26,36.28623999,23.01624547
0.918,26,36.28623999,23.01624547
1.15,26,36.28623999,23.01624547
0.267,26,36.28623999,23.01624547
0.311,26,36.28623999,23.01624547
0.267,26,36.28623999,23.01624547
0.336,26,36.28623999,23.01624547
0.26,26,36.28623999,23.01624547
0.259,26,36.28623999,23.01624547
0.243,26,36.28623999,23.01624547
1.028,26,36.28623999,23.01624547
0.382,26,36.28623999,23.01624547
0.413,26,36.28623999,23.01624547
1.084,27,37.7980207,21.3600389
1.036,27,37.7980207,21.3600389
0.605,27,37.7980207,21.3600389
0.9,27,37.7980207,21.3600389
0.21,27,37.7980207,21.3600389
0.219,27,37.7980207,21.3600389
0.215,27,37.7980207,21.3600389
0.212,27,37.7980207,21.3600389
0.224,27,37.7980207,21.3600389
0.217,27,37.7980207,21.3600389
0.252,27,37.7980207,21.3600389
0.218,27,37.7980207,21.3600389
